Player,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kareem Abdul-Jabbar,1560,36.8,24.6,11.2,3.6,0.9,2.6,0.559,,0.721,273.4,0.228
Ray Allen,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15
Giannis Antetokounmpo,719,32.5,22.6,9.6,4.7,1.1,1.3,0.537,0.287,0.708,96.1,0.197
Carmelo Anthony,1260,34.5,22.5,6.2,2.7,1,0.5,0.447,0.355,0.814,108.5,0.12
Tiny Archibald,876,35.6,18.8,2.3,7.4,1.1,0.1,0.467,,0.81,83.4,0.128
Paul Arizin,713,38.4,22.8,8.6,2.3,,,0.421,,0.81,108.8,0.183
Charles Barkley,1073,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.216
Rick Barry,794,36.3,23.2,6.5,5.1,2,0.5,0.449,,0.9,93.4,0.156
Elgin Baylor,846,40,27.4,13.5,4.3,,,0.431,,0.78,104.2,0.148
Dave Bing,901,36.4,20.3,3.8,6,1.3,0.2,0.441,,0.775,68.8,0.101
Larry Bird,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203
Kobe Bryant,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.329,0.837,172.7,0.17
Wilt Chamberlain,1045,45.8,30.1,22.9,4.4,,,0.54,,0.511,247.3,0.248
Bob Cousy,924,35.3,18.4,5.2,7.5,,,0.375,,0.803,91.1,0.139
Dave Cowens,766,38.6,17.6,13.6,3.8,1.1,0.9,0.46,,0.783,86.3,0.14
Billy Cunningham,654,34.3,20.8,10.1,4,1.2,0.5,0.446,,0.72,63.2,0.135
Stephen Curry,882,34.4,24.6,4.7,6.5,1.6,0.2,0.475,0.428,0.909,128,0.203
Anthony Davis,660,34.4,24,10.4,2.4,1.3,2.3,0.519,0.3,0.793,100.3,0.212
Dave DeBusschere,875,35.7,16.1,11,2.9,0.9,0.5,0.432,,0.699,60.8,0.093
Clyde Drexler,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,135.6,0.173
Tim Duncan,1392,34,19,10.8,3,0.7,2.2,0.506,0.179,0.696,206.4,0.209
Kevin Durant,986,36.7,27.3,7.1,4.3,1.1,1.1,0.499,0.385,0.886,161.9,0.215
Julius Erving,836,34.3,22,6.7,3.9,1.8,1.5,0.507,,0.777,106.2,0.178
Patrick Ewing,1183,34.3,21,9.8,1.9,1,2.4,0.504,0.152,0.74,126.4,0.15
Walt Frazier,825,37.5,18.9,5.9,6.1,1.9,0.2,0.49,,0.786,113.5,0.176
Kevin Garnett,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.275,0.789,191.4,0.182
George Gervin,791,33.5,26.2,4.6,2.8,1.2,0.8,0.511,,0.844,88.1,0.159
Hal Greer,1122,35.5,19.2,5,4,,,0.452,,0.801,102.7,0.124
James Harden,1000,34.8,24.7,5.6,7,1.5,0.5,0.442,0.363,0.86,158,0.218
John Havlicek,1270,36.6,20.8,6.3,4.8,1.2,0.3,0.439,,0.815,131.7,0.136
Elvin Hayes,1303,38.4,21,12.5,1.8,1,2,0.452,,0.67,120.8,0.116
Allen Iverson,914,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,99,0.126
LeBron James,1421,38.1,27.2,7.5,7.3,1.5,0.8,0.505,0.345,0.735,255.1,0.226
Magic Johnson,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225
Sam Jones,871,27.9,17.7,4.9,2.5,,,0.456,,0.803,92.3,0.182
Michael Jordan,1072,38.3,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,214,0.25
Jason Kidd,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,138.6,0.133
Kawhi Leonard,628,31.5,19.6,6.4,3,1.7,0.6,0.495,0.387,0.859,90.4,0.219
Damian Lillard,769,36.3,25.2,4.2,6.7,1,0.3,0.439,0.372,0.895,103.1,0.177
Jerry Lucas,829,38.8,17,15.6,3.3,0.4,0.3,0.499,,0.783,98.4,0.147
Karl Malone,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,234.6,0.205
Moses Malone,1329,33.9,20.6,12.2,1.4,0.8,1.3,0.491,,0.769,167.1,0.178
Pete Maravich,658,37,24.2,4.2,5.4,1.4,0.3,0.441,,0.82,46.7,0.092
Bob McAdoo,852,33.2,22.1,9.4,2.3,1,1.5,0.503,,0.754,89.1,0.151
Kevin McHale,971,31,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,113,0.18
George Mikan,439,34.4,23.1,13.4,2.8,,,0.404,,0.782,108.7,0.249
Reggie Miller,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.395,0.888,174.4,0.176
Earl Monroe,926,32,18.8,3,3.9,1,0.3,0.464,,0.807,77.4,0.125
Steve Nash,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.164
Dirk Nowitzki,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,206.3,0.193
Shaquille O'Neal,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,181.7,0.208
Hakeem Olajuwon,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,162.8,0.177
Robert Parish,1611,28.4,14.5,9.1,1.4,0.8,1.5,0.537,,0.721,147,0.154
Chris Paul,1214,34.4,17.9,4.5,9.5,2.1,0.2,0.472,0.369,0.87,205.1,0.236
Gary Payton,1335,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.729,145.5,0.148
Bob Pettit,792,38.8,26.4,16.2,3,,,0.436,,0.761,136,0.213
Paul Pierce,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,150,0.157
Scottie Pippen,1178,34.9,16.1,6.4,5.2,2,0.8,0.473,0.326,0.704,125.1,0.146
Willis Reed,650,35.5,18.7,12.9,1.8,0.6,1.1,0.476,,0.747,74.9,0.156
Oscar Robertson,1040,42.2,25.7,7.5,9.5,1.1,0.1,0.485,,0.838,189.2,0.207
David Robinson,987,34.7,21.1,10.6,2.5,1.4,3,0.518,0.25,0.736,178.7,0.25
Dennis Rodman,911,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15
Bill Russell,963,42.3,15.1,22.5,4.3,,,0.44,,0.561,163.5,0.193
Dolph Schayes,996,34.4,18.5,12.1,3.1,,,0.38,,0.849,142.4,0.192
Bill Sharman,711,32,17.8,3.9,3,,,0.426,,0.883,82.8,0.178
John Stockton,1504,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,207.7,0.209
Isiah Thomas,979,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109
Nate Thurmond,964,37.2,15,15,2.7,0.5,2.1,0.421,,0.667,78,0.104
Wes Unseld,984,36.4,10.8,14,3.9,1.1,0.6,0.509,,0.633,110.1,0.147
Dwyane Wade,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162
Bill Walton,468,28.3,13.3,10.5,3.4,0.8,2.2,0.521,,0.66,39.3,0.142
Jerry West,932,39.2,27,5.8,6.7,2.6,0.7,0.474,,0.814,162.6,0.213
Russell Westbrook,1094,34.3,22.4,7.3,8.4,1.6,0.3,0.438,0.305,0.778,108.4,0.139
Lenny Wilkens,1077,35.3,16.5,4.7,6.7,1.3,0.2,0.432,,0.774,95.5,0.12
Dominique Wilkins,1074,35.5,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,117.5,0.148
James Worthy,926,32.4,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,81.2,0.13